iter	Passed	Remaining
402	10741	2585
403	10768	2558
404	10796	2532
405	10821	2505
406	10846	2478
407	10870	2451
408	10892	2423
409	10918	2396
410	10945	2370
411	10971	2343
412	10997	2316
413	11023	2289
414	11051	2263
415	11075	2236
416	11099	2209
417	11125	2182
418	11151	2155
419	11176	2128
420	11199	2101
421	11227	2075
422	11251	2048
423	11274	2020
424	11298	1993
425	11321	1966
426	11348	1940
427	11375	1913
428	11404	1887
429	11437	1861
430	11462	1835
431	11489	1808
432	11516	1782
433	11541	1755
434	11566	1728
435	11592	1701
436	11619	1675
437	11646	1648
438	11670	1621
439	11699	1595
440	11726	1568
441	11750	1541
442	11777	1515
443	11812	1489
444	11836	1462
445	11862	1436
446	11885	1409
447	11910	1382
448	11935	1355
449	11960	1328
450	11985	1302
451	12008	1275
452	12035	1248
453	12059	1221
454	12082	1195
455	12107	1168
456	12132	1141
457	12158	1114
458	12181	1088
459	12205	1061
460	12231	1034
461	12258	1008
462	12284	981
463	12313	955
464	12341	928
465	12367	902
466	12392	875
467	12418	849
468	12443	822
469	12470	795
470	12493	769
471	12516	742
472	12537	715
473	12556	688
474	12580	662
475	12606	635
476	12631	609
477	12656	582
478	12680	555
479	12706	529
480	12731	502
481	12755	476
482	12784	449
483	12809	423
484	12841	397
485	12869	370
486	12894	344
487	12917	317
488	12942	291
489	12968	264
490	12993	238
491	13020	211
492	13045	185
493	13072	158
494	13095	132
495	13119	105
496	13142	79
497	13166	52
498	13190	26
499	13216	0
