iter	Logloss
150	0.2784308557
151	0.2782680425
152	0.2781635487
153	0.2780099932
154	0.2779124482
155	0.2778264726
156	0.2776251676
157	0.2775236125
158	0.2773376816
159	0.2771721222
160	0.2770753298
161	0.2769294851
162	0.2767852158
163	0.276640386
164	0.2764862878
165	0.2762967933
166	0.2762120781
167	0.2761328682
168	0.2760433309
169	0.2758645781
170	0.2757848552
171	0.2756221353
172	0.2754108878
173	0.2752786455
174	0.2751982878
175	0.2750675404
176	0.2749836004
177	0.2748559587
178	0.274726933
179	0.2745213408
180	0.2744355898
181	0.2743175991
182	0.2742440918
183	0.2740909152
184	0.2739319163
185	0.2738355971
186	0.2737323332
187	0.2736021723
188	0.2735211519
189	0.273429508
190	0.2733513415
191	0.2732632548
192	0.2731672966
193	0.2730487742
194	0.272873807
195	0.2728136687
196	0.2727425141
197	0.2726488119
198	0.2725720549
199	0.2724470577
200	0.2722699791
201	0.2721449353
202	0.2719425926
203	0.2718711558
204	0.2717861218
205	0.2716738258
206	0.2716060817
207	0.2715164069
208	0.2713653597
209	0.2712483345
210	0.271115382
211	0.2710232065
212	0.2709352656
213	0.2708561218
214	0.2707698874
215	0.2705994293
216	0.2705353275
217	0.2704320028
218	0.2702476273
219	0.2701710072
220	0.270061991
221	0.2699776372
222	0.2698102818
223	0.269723531
224	0.2695322136
225	0.2694420757
226	0.2693142885
227	0.2691677806
228	0.2690241634
229	0.2689452498
230	0.2688757208
231	0.2685875588
232	0.2683187303
233	0.2681722969
234	0.267878321
235	0.2677060828
236	0.2675631765
237	0.2674878965
238	0.2674163431
239	0.2673077773
240	0.2672497438
241	0.2671353024
242	0.2670174348
243	0.2669161627
244	0.2668314817
245	0.266719438
246	0.2666208544
247	0.2665399779
248	0.2664385667
249	0.266358163
250	0.2662835294
251	0.2662308817
252	0.2661415246
253	0.2660397154
254	0.2658934914
255	0.2657946375
256	0.2655838089
257	0.2654905377
258	0.2654148494
259	0.2653316
260	0.2652362321
261	0.2651613713
262	0.2650604621
263	0.2650115704
264	0.2649080708
265	0.2647010761
266	0.2645815047
267	0.2644813966
268	0.2643828565
269	0.264282595
270	0.2641549979
271	0.2640875162
272	0.2639723239
273	0.2638235173
274	0.2636476578
275	0.2634523388
276	0.2633980938
277	0.2633151204
278	0.2631761756
279	0.2631013362
280	0.2630060995
281	0.262932748
282	0.2628483545
283	0.2627025018
284	0.2626113606
285	0.2625399737
286	0.2624762757
287	0.2623971851
288	0.2621037677
289	0.2620244257
290	0.2617632026
291	0.2616681152
292	0.2615578075
293	0.2614453816
294	0.2612846831
295	0.261178953
296	0.2610298145
297	0.2609349439
298	0.2608161915
299	0.2606449557
300	0.260504652
301	0.2603249432
302	0.2602434372
303	0.2601247622
304	0.2600672886
305	0.2599900969
306	0.2599195227
307	0.2598448168
308	0.259695806
309	0.259391521
310	0.2593334668
311	0.2591093273
312	0.2589904534
313	0.2588659798
314	0.258797572
315	0.2587100752
316	0.2586117714
317	0.2585479563
318	0.2584669976
319	0.2583793218
320	0.2583129079
321	0.2581717217
322	0.2580968225
323	0.2580314855
324	0.2579702473
325	0.2579244027
326	0.2577961627
327	0.2577124517
328	0.2576300362
329	0.257569602
330	0.2574146858
331	0.257335295
332	0.2572062032
333	0.2570549054
334	0.2569805617
335	0.2568566813
336	0.2567781361
337	0.2566148573
338	0.2564760758
339	0.2563129714
340	0.2561259397
341	0.2560638303
342	0.2558309495
343	0.2557219975
344	0.2556376681
345	0.2555576892
346	0.25548922
347	0.2554320676
348	0.2553492485
349	0.255292461
350	0.255216171
351	0.2551243053
352	0.2550124456
353	0.2549397239
354	0.2548300498
355	0.2546973438
356	0.2546259709
357	0.2545555495
358	0.2544924628
359	0.2544363381
360	0.2543440114
361	0.2542399402
362	0.2540804372
363	0.2540027671
364	0.2539247935
365	0.25385082
366	0.2537331833
367	0.2536562037
368	0.2535799895
369	0.2535150471
370	0.2534015282
371	0.2533256131
372	0.2532028496
373	0.2531421601
374	0.2530801149
375	0.2529909877
376	0.2529168464
377	0.2527360336
378	0.2526870595
379	0.2526243363
380	0.2525550792
381	0.2524429116
382	0.2523736317
383	0.2522960267
384	0.2522402264
385	0.252183843
386	0.2521113206
387	0.2518888556
388	0.2518203095
389	0.2517516134
390	0.2516075582
391	0.2515458049
392	0.2514767323
393	0.2513183295
394	0.25125471
395	0.2511845722
396	0.2511243117
397	0.251064517
398	0.2509658255
399	0.2508896909
400	0.250828299
401	0.250654568
402	0.2505847205
403	0.2505105907
404	0.2504242358
405	0.2503709831
406	0.2503109456
407	0.2502427505
408	0.2501767914
409	0.2500335906
410	0.2499130277
411	0.24981281
412	0.2497352072
413	0.2494558333
414	0.2493721113
415	0.2493113661
416	0.2491803287
417	0.2490886357
418	0.2490192701
419	0.2489432576
420	0.2488554962
421	0.2487720632
422	0.2487252132
423	0.2486764576
424	0.2485631907
425	0.2484897709
426	0.2484226315
427	0.2483236346
428	0.2482322509
429	0.2480965076
430	0.2479982948
431	0.247727873
432	0.2475763002
433	0.2475181026
434	0.2473820201
435	0.2472469796
436	0.2471966446
437	0.2471068588
438	0.2470481766
439	0.2469716838
440	0.2469076196
441	0.2468583835
442	0.2467782662
443	0.2466039385
444	0.2465526596
445	0.2465022491
446	0.2464393245
447	0.2463505478
448	0.2462928184
449	0.2461904061
450	0.2460888551
451	0.2460156505
452	0.2459442322
453	0.2458740138
454	0.2458023773
455	0.2457317749
456	0.2456818815
457	0.245595804
458	0.2455395869
459	0.2454639489
460	0.2453941122
461	0.2453040436
462	0.245227783
463	0.2451252685
464	0.2449649224
465	0.2448688657
466	0.2448011468
467	0.2447075953
468	0.2446052272
469	0.2445358572
470	0.2444863168
471	0.244416466
472	0.2443517306
473	0.2442987113
474	0.2442201851
475	0.2441624753
476	0.2440986091
477	0.2440362675
478	0.2439725644
479	0.2438957137
480	0.2438518229
481	0.2437967967
482	0.2437238346
483	0.2436643351
484	0.2435736384
485	0.2435131009
486	0.2434612774
487	0.2434018344
488	0.2433112278
489	0.2431765622
490	0.2431116087
491	0.2430087925
492	0.2429544426
493	0.2428878948
494	0.2428311247
495	0.2427833899
496	0.242597576
497	0.2425476589
498	0.2424363525
499	0.2423587962
