iter	Logloss
0	0.5844132484
1	0.5120757954
2	0.4509960218
3	0.4169734782
4	0.3933866968
5	0.3704335824
6	0.3579633247
7	0.3461805234
8	0.3360367486
9	0.3294126773
10	0.3254835089
11	0.3203297616
12	0.3175311685
13	0.3156560643
14	0.313485198
15	0.3116652237
16	0.3090268542
17	0.3074443208
18	0.3065776144
19	0.3058883002
20	0.3050659759
21	0.3044462521
22	0.3038901967
23	0.3029262137
24	0.3023598733
25	0.3019435142
26	0.3015220859
27	0.3011314683
28	0.3007574978
29	0.3004410089
30	0.2996988786
31	0.2993216455
32	0.2990484983
33	0.2987972536
34	0.2984102333
35	0.2980744494
36	0.2976024737
37	0.2972955862
38	0.29708544
39	0.2968052042
40	0.2965118399
41	0.2962436133
42	0.2960244132
43	0.2958073549
44	0.295517842
45	0.2950817523
46	0.2948841645
47	0.2947377119
48	0.2944606768
49	0.2942424171
50	0.2940913312
51	0.2938285063
52	0.2937063762
53	0.2935171745
54	0.2933110976
55	0.2931297979
56	0.2929567742
57	0.2927054569
58	0.2925043268
59	0.292350299
60	0.2922146586
61	0.2920558735
62	0.2918823717
63	0.2916616168
64	0.2914910283
65	0.2913507938
66	0.2911868769
67	0.2910255792
68	0.2907192425
69	0.290579288
70	0.2902841362
71	0.2901109993
72	0.2898353381
73	0.2896229875
74	0.2894827845
75	0.2893296102
76	0.2891969779
77	0.2890316335
78	0.2889217169
79	0.2886899655
80	0.2884109767
81	0.2882488605
82	0.2881604054
83	0.2880005534
84	0.287812759
85	0.2875866859
86	0.2872259066
87	0.2869740937
88	0.2868099521
89	0.2866694944
90	0.2865075314
91	0.2863486154
92	0.2862323057
93	0.2861294257
94	0.2860235035
95	0.2859197431
96	0.2857946505
97	0.2857040564
98	0.2854883016
99	0.285393224
100	0.2852891828
101	0.2851680704
102	0.2850432195
103	0.2849072478
104	0.2847999297
105	0.2846405067
106	0.2845276698
107	0.2844510533
108	0.2842082092
109	0.2839077373
110	0.2838114754
111	0.2837065518
112	0.2835594102
113	0.2833197628
114	0.2831566905
115	0.2829303744
116	0.282717734
117	0.2826583712
118	0.2825085895
119	0.2824176468
120	0.282336619
121	0.2822304211
122	0.2820904673
123	0.2819901867
124	0.2819056883
125	0.2818059894
126	0.2816540815
127	0.2815439423
128	0.2813996583
129	0.2812440337
130	0.2811566804
131	0.2810665149
132	0.2809869839
133	0.2808687027
134	0.2807450527
135	0.280526301
136	0.2804194464
137	0.2803359777
138	0.2801454533
139	0.2799549681
140	0.2797490392
141	0.2795351204
142	0.2794626462
143	0.2793588468
144	0.2792015242
145	0.2790686702
146	0.2789664321
147	0.2788856577
148	0.2787731789
149	0.2786045742
